year,duration,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
1997,5906,336.3,8799123,2830.0,19643.0,5907.0,336.3,8799123,342.1,343.0,1027809,1156448,2106992,2059235,1191380,586970,282567,156589,98699,132434,344.30000000000007,4817.0,343.4999999999999,1735323.0,332.3,3860062.0,331.30000000000007,1048775.0,334.09999999999997,5693317.0,327.50000000000006,3434.0,342.2,1332960.0,331.2,3227922.0,329.5,876372.0,341.30000000000007,1186008.0,380.79999999999995,903.0,346.40000000000003,378754.0,336.19999999999993,588107.0,340.7999999999999,156891.0,318.80000000000007,30497.0,336.7000000000001,1727072.0,332.2999999999999,4016863.0
1998,5966,357.50000000000006,8723567,2932.0,24946.0,6247.0,357.50000000000006,8723567,364.00000000000006,368.0,1180562,1395741,2025788,1928831,1128606,526055,235226,122523,75282,104953,360.99999999999994,4100.0,363.49999999999994,1750076.0,354.3,3867241.0,350.5,978995.0,355.09999999999997,5622398.0,352.9,3095.0,361.39999999999986,1341175.0,352.79999999999995,3199591.0,348.49999999999994,815817.0,359.9000000000001,1218618.0,386.0000000000001,678.0,365.29999999999984,384998.0,356.7,623365.0,359.20000000000005,148671.0,333.0,29878.0,357.8999999999999,1759342.0,354.4,3917616.0
1999,7436,452.1000000000001,12017632,4022.0,44279.0,9424.0,452.1000000000001,12017632,460.20000000000005,463.0,1901526,2096369,2821762,2386423,1313982,660115,328545,189836,125683,193391,470.5999999999999,7250.0,462.70000000000005,2457835.0,447.80000000000007,5141978.0,444.6999999999999,1373810.0,447.90000000000003,7492763.0,457.8000000000001,5224.0,458.6,1833516.0,444.7000000000001,4169322.0,442.1,1127959.0,457.70000000000005,1819439.0,499.7000000000001,1305.0,465.69999999999993,589479.0,451.79999999999995,911976.0,457.5000000000001,224555.0,422.29999999999995,36663.0,453.1,2467560.0,447.7,5258267.0
2000,6140,364.1999999999999,8069299,2877.0,27646.0,7520.0,364.1999999999999,8069299,372.3999999999999,378.0,925681,1040107,1741188,1884145,1201120,596774,280403,151234,99049,149598,363.70000000000005,4135.0,373.19999999999993,1740890.0,359.4999999999999,3564567.0,358.6000000000001,842319.0,360.70000000000005,5117817.0,350.9000000000001,3074.0,369.0,1292497.0,357.3,2905608.0,356.1999999999999,694885.0,370.09999999999997,1240635.0,401.09999999999997,699.0,377.50000000000006,425590.0,364.49999999999994,619397.0,370.8999999999999,134630.0,340.49999999999994,29270.0,363.2999999999999,1588255.0,360.7999999999999,3719952.0
2001,7022,415.29999999999995,8754096,3233.0,30527.0,8638.0,415.29999999999995,8754096,425.6000000000001,430.0,995854,1126488,2050716,1918831,1265134,665090,316773,168827,103319,143064,412.1000000000001,4860.0,426.79999999999995,1966944.0,410.70000000000005,3818716.0,407.5,886669.0,412.6000000000001,5552056.0,389.8,3399.0,423.80000000000007,1457763.0,408.6000000000001,3112647.0,404.70000000000005,730495.0,421.0,1359502.0,461.1000000000001,980.0,429.6,483434.0,414.0000000000001,663962.0,419.20000000000005,142261.0,382.69999999999993,31929.0,414.3999999999999,1708020.0,411.49999999999983,4026722.0
2002,6378,396.40000000000015,7508845,3387.0,33271.0,8861.0,396.40000000000015,7508845,405.4,407.0,645399,675313,1591941,1947796,1285691,658981,304017,162891,101164,135652,399.1000000000001,4723.0,404.90000000000003,1656994.0,390.5000000000001,3291166.0,391.2,798120.0,392.30000000000007,4834563.0,396.40000000000015,3542.0,401.50000000000006,1249222.0,388.3000000000001,2714832.0,388.30000000000007,663793.0,403.09999999999997,1099027.0,421.7,763.0,409.00000000000006,386154.0,395.40000000000003,539215.0,405.0000000000001,121416.0,368.3,29875.0,396.5999999999999,1513307.0,391.3,3476413.0
2003,5492,311.19999999999993,6965740,2478.0,27198.0,7568.0,311.19999999999993,6965740,320.99999999999994,315.0,700639,683205,1372416,1589329,1135685,636039,325242,187582,124722,210881,317.90000000000003,4106.0,318.2,1628787.0,305.3,3067999.0,307.0,693334.0,307.6,4521415.0,305.99999999999994,3035.0,313.9,1218188.0,303.30000000000007,2536152.0,304.90000000000003,574273.0,319.69999999999993,1048536.0,350.00000000000006,759.0,326.00000000000006,390951.0,312.89999999999986,498962.0,319.90000000000003,108324.0,290.19999999999993,26532.0,308.3,1381345.0,308.3,3284288.0
2004,6796,413.4,11586053,3427.0,35633.0,10139.0,413.4,11586053,425.40000000000003,426.0,1380167,1407861,2544336,2698161,1735699,853415,395415,216693,139401,214905,417.7000000000001,8049.0,420.2000000000001,2843869.0,407.69999999999993,5033100.0,407.2999999999999,1065170.0,407.6000000000001,7335847.0,404.8999999999999,5765.0,414.49999999999994,2063123.0,404.09999999999997,4069873.0,404.6,872482.0,420.50000000000006,1926622.0,451.5999999999999,1561.0,425.4000000000001,742388.0,414.4,909492.0,419.50000000000006,176731.0,384.49999999999994,34014.0,413.29999999999984,2202243.0,408.30000000000007,5474016.0
2005,6549,388.1,7926129,3234.0,30031.0,9805.0,388.1,7926129,400.60000000000014,406.0,805282,774628,1545309,1917388,1367093,717761,342883,183769,111736,160280,401.20000000000005,4128.0,393.90000000000015,1850633.0,384.50000000000017,3625339.0,384.49999999999994,784652.0,383.70000000000016,5158046.0,389.20000000000005,3136.0,388.8,1356042.0,381.8000000000002,2948167.0,380.79999999999995,645479.0,395.79999999999984,1296924.0,450.4,670.0,399.40000000000003,471557.0,390.5999999999999,641182.0,396.20000000000005,127901.0,360.0,29797.0,387.5000000000001,1617008.0,384.4999999999999,3827949.0
2006,7621,439.30000000000024,8876350,3685.0,31281.0,11718.0,439.30000000000024,8876350,453.2999999999998,459.0,1055730,1100063,1897412,2002871,1310442,699039,339263,184808,115447,171275,454.60000000000014,5638.0,444.2,2180083.0,434.20000000000016,3971734.0,437.3,849228.0,434.00000000000006,5808349.0,442.3999999999999,4155.0,438.6,1613702.0,430.40000000000015,3254612.0,432.9000000000001,693278.0,449.09999999999997,1429896.0,489.6999999999999,996.0,452.2000000000001,539510.0,444.7,678856.0,454.49999999999994,143981.0,407.60000000000014,32697.0,438.40000000000003,1774875.0,434.0000000000003,4270778.0
